PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
PR0004134,SALTILLO VACA,CWS,CARR. 10 R518 KM.5,,00601,ADJUNTAS,02,PR,815,SALTILLO VACA,PR,Adjuntas Municipio
PR0004204,ADJUNTAS URBANO,CWS,CARR.10 R518 HM 1,,00601,ADJUNTAS,02,PR,5245,ADJUNTAS URBANO,PR,Adjuntas Municipio
PR0004214,LA MOCHA,CWS,CARR. 503 KM.,,00731,PONCE,02,PR,206,LA MOCHA,PR,Ponce Municipio
PR0004234,DUEY,CWS,CARR. 372 KM.1.5,,00698,YAUCO,02,PR,3388,DUEY,PR,"Maricao Municipio,Yauco Municipio"
PR0004244,JAGUA PASTO,CWS,CARR. 378 KM.10,,00656,GUAYANILLA,02,PR,1270,JAGUA PASTO,PR,Guayanilla Municipio
PR0004314,YAUCO,CWS,CARR. 128 KM.2.6,,00698,YAUCO,02,PR,42974,YAUCO,PR,Yauco Municipio
PR0004324,PENUELAS,CWS,CARR. 132 KM.5,,00624,PENUELAS,02,PR,21772,PENUELAS,PR,Penuelas Municipio
PR0004334,RANCHERA,TNCWS,CARR.128 R 371 KM.10.6,,00698,YAUCO,02,PR,1560,RANCHERA,PR,"Ponce Municipio,Yauco Municipio"
PR0004344,AMELIA,CWS,CARR. 535 KM 111.5,,00795,JUANA DIAZ,02,PR,4912,AMELIA,PR,Juana Diaz Municipio
PR0004374,ARENAS,CWS,CARR. 116 KM.33.2,,00653,GUANICA,02,PR,2857,ARENAS,PR,"Guanica Municipio,Yauco Municipio"
PR0004444,DEPORTIVO,CWS,CARR. 127 KM.236,,00656,GUAYANILLA,02,PR,997,DEPORTIVO,PR,Guayanilla Municipio
PR0004454,REAL ANON,CWS,CARR. 511 KM.13.5,,00731,PONCE,02,PR,3623,REAL ANON,PR,Ponce Municipio
PR0004464,MALPASO,CWS,CARR. 131 KM.4,,00724,PENUELAS,02,PR,1029,MALPASO,PR,Penuelas Municipio
PR0004474,PIEDRAS BLANCAS,CWS,PR 335 KM. 1.5,BO INDIOS,00656,GUAYANILLA,02,PR,3958,PIEDRAS BLANCAS,PR,Guayanilla Municipio
PR0004484,CONSEJO,CWS,CARR. 375 KM. 2.1,BO. SIERRA BAJA,00656,GUAYANILLA,02,PR,1150,CONSEJO,PR,Guayanilla Municipio
PR0004494,GUILARTE,CWS,CARR. 131 KM.2.5,,00601,ADJUNTAS,02,PR,2090,GUILARTE,PR,Adjuntas Municipio
PR0004504,DAJAOS,CWS,CARR. 559 KM. 1.8,,00766,VILLALBA,02,PR,488,DAJAOS,PR,Villalba Municipio
PR0004514,HOGARES SEGUROS,CWS,CARR. 143 KM.12.6,,00731,PONCE,02,PR,330,HOGARES SEGUROS,PR,Ponce Municipio
PR0004524,COTTO LAUREL,CWS,CARR. # 14 KM. 8.2 INT.,,00733,PONCE,02,PR,14365,COTTO LAUREL,PR,Ponce Municipio
PR0004534,JACAGUAS,CWS,CARR. # 4 KM. 13.7,,00795,JUANA DIAZ,02,PR,5156,JACAGUAS,PR,Juana Diaz Municipio
PR0004545,AIBONITO LA PLATA,CWS,CARR. 727 KM.0.1,,00653,AIBONITO,02,PR,17278,AIBONITO URBANO,PR,Aibonito Municipio
PR0004555,CUYON,CWS,CARR. 1 KM69.1,,00653,AIBONITO,02,PR,699,CUYON,PR,Aibonito Municipio
