PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
VT0000918,FOUNDRY,TNCWS,,PO BOX 7,05751,KILLINGTON,01,VT,200,"KARR, CHRISTOPHER C",VT,Rutland
VT0000933,DOVER CENTER,TNCWS,,409 GRASSY BROOK ROAD,05345,BROOKLINE,01,VT,25,"NYSTROM, MARIE",VT,Windham
VT0000944,Z CORNERS INN,TNCWS,,432 RT 100 SOUTH,05035,BRIDGEWATER CORNERS,01,VT,77,"ZEMBA, PAUL J",VT,Windsor
VT0000963,CHARITYS,TNCWS,,PO BOX 7,05751,KILLINGTON,01,VT,134,"KARR, CHRISTOPHER C",VT,Rutland
VT0000970,SLIDE BROOK INN AND TAVERN,TNCWS,,PO BOX 569,05250,SANDGATE,01,VT,88,"PEFF, MARJORIE R",VT,Washington
VT0000982,MISSISQUOI LANES,TNCWS,,PO BOX 964,05661,MORRISVILLE,01,VT,42,"MAYO JR, CECIL E",VT,Orleans
VT0000994,PITCHER INN,TNCWS,CLEARWATER FILTRATION,264 MAD RIVER PARK,05673,WAITSFIELD,01,VT,88,"FLECKENSTEIN, JENNETH A",VT,Washington
VT0001000,NORDIC HILLS LODGE,TNCWS,,PO BOX 2210,05356,WEST DOVER,01,VT,102,HERMITAGE REAL ESTATE HOLDING CO,VT,Windham
VT0001033,BASIN HARBOR CLUB,TNCWS,,4800 BASIN HARBOR ROAD,05491,VERGENNES,01,VT,470,"BEACH JR, ROBERT H",VT,Addison
VT0001042,BADA BING,TNCWS,,PO BOX 820,05673,WAITSFIELD,01,VT,109,"KELLEY, MICHAEL J",VT,Washington
VT0001045,MOUNT SNOW ACADEMY,TNCWS,BOX 616,248 ROUTE 100,05356,WEST DOVER,01,VT,189,"SALWAY, DANIELLE",VT,Windham
VT0001049,BLUEBERRY HILL,TNCWS,,203 CAPTAIN KIDD RD,05651,EAST MONTPELIER,01,VT,61,"HARPER, MICHELLE E",VT,Washington
VT0001076,BEAR MOUNTAIN,TNCWS,C/O KPSRP LLC,4763 KILLINGTON RD,05751,KILLINGTON,01,VT,290,"SMITH, KIM D.",VT,Rutland
VT0001082,EATONS SUGARHOUSE,TNCWS,,5894 VT RTE 14,05068,ROYALTON,01,VT,75,"POULIN, CONNIE I",VT,Windsor
VT0001089,QUIMBY COUNTRY,TNCWS,,1127 FOREST LAKE RD,05901,AVERILL,01,VT,135,"DEVLIN, GENE",VT,Essex
VT0001093,SKUNK HOLLOW TAVERN,TNCWS,,P.O. BOX 47,05049,HARTLAND FOUR CORNERS,01,VT,65,"OCASIO, GRETCHEN H",VT,Windsor
VT0001102,HYDE AWAY,TNCWS,,26 HIGH FALLS RD,05673,FAYSTON,01,VT,131,"DAN, ANA",VT,Washington
VT0001124,MICHAELS ON THE HILL,TNCWS,,4182 WATERBURY-STOWE RD,05677,WATERBURY CENTER,01,VT,90,"KLOETI, MICHAEL",VT,Washington
VT0001127,NORTHERN LIGHTS LODGE,TNCWS,,4441 MOUNTAIN RD,05672,STOWE,01,VT,157,"SEABERG, MICHAEL A",VT,Lamoille
VT0001128,FATHERS RESTAURANT,TNCWS,,PO BOX 317,05101,BELLOWS FALLS,01,VT,57,"MCALLISTER, BRIAN G",VT,Windham
VT0001164,THAI STAR,TNCWS,,30 SHORE ROAD,11946,HAMPTON BAYS,01,VT,314,"NEMEC, MILOS",NY,Rutland
VT0001166,SKY HAUS,TNCWS,JAY PEAK INC,830 JAY PEAK RD,05859,JAY,01,VT,100,"GILCRIS, MATTHEW L",VT,Orleans
VT0001170,GLEN HOUSE,TNCWS,,1840 SUGARBUSH ACCESS RD,05674,WARREN,01,VT,135,"MARTIN, EUGENE J",VT,Washington
VT0001203,NORTH AMERICAN HOCKEY ACADEMY,TNCWS,,3430 MOUNTAIN RD,05672,STOWE,01,VT,37,"HICKEY, KELLY",VT,Lamoille
VT0001213,ABBEY PUB RESTAURANT,TNCWS,,5661 VT-ROUTE 105,05450,ENOSBURG FALLS,01,VT,180,"UNDERWOOD, DAVID W",VT,Franklin
VT0001226,TOZIERS RESTAURANT,TNCWS,TOZIERS RESTAURANT INC.,2678 RIVER ST,05032,BETHEL,01,VT,136,"CAMPBELL JR, GORDON WILLIAM",VT,Windsor
VT0001228,16 MAIN STREET,TNCWS,,8 DALLAS DR,12603,POUGHKEEPSIE,01,VT,54,"BUCHNER, HAROLD W",NY,Windham
VT0001244,DOVER FORGE RESTAURANT,TNCWS,,183 ROUTE 100,05356,WEST DOVER,01,VT,464,"DELLERT, ALAN L",VT,Windham
VT0001245,AUSTIN HILL INN,TNCWS,,11 NORTH HILLSIDE LANE,06468,MONROE,01,VT,82,"GILLESPIE, ROSEMARY T",CT,Windham
VT0001260,MCKEE`S ISLAND PUB AND PIZZA,TNCWS,EMMA ENTERPRISES,PO BOX 613,05486,S HERO,01,VT,57,"JOHNSTON, RYAN",VT,Grand Isle
VT0001285,LAKE BOMOSEEN LODGE,TNCWS,,2551 ROUTE 30 NORTH,05732,BOMOSEEN,01,VT,378,"BROWN, DANIEL R",VT,Rutland
VT0001291,LAST CHAIR,TNCWS,,PO BOX 246,05356,WEST DOVER,01,VT,200,"DONAHUE, PAUL",VT,Windham
